season	week	game	half	team1	team2	t1score	t2score	t1OT	t2OT
10	1	EMERALD	-	MAB	MBC	9	6	0	0
10	1	Monarch	-	MAB	MBC	6	4	0	0
10	1	EMERALD	-	MTHE	MHGW	9	12	0	0
10	1	Monarch	-	MTHE	MHGW	7	3	0	0
10	1	EMERALD	-	MLSP	MCJ	6	7	0	0
10	1	Monarch	-	MLSP	MCJ	8	6	0	0
10	1	EMERALD	-	MCD	MTRS	9	4	0	0
10	1	Monarch	-	MCD	MTRS	5	4	0	0
10	1	EMERALD	-	MGB	MMT	6	9	0	0
10	1	Monarch	-	MGB	MMT	3	15	0	0
10	1	EMERALD	-	MPNS	MBAL	4	15	0	0
10	1	Monarch	-	MPNS	MBAL	2	9	0	0
10	1	EMERALD	-	MOD	MPBP	4	6	0	0
10	1	Monarch	-	MOD	MPBP	8	4	0	0
10	1	EMERALD	-	MBD	MHR	6	9	0	0
10	1	Monarch	-	MBD	MHR	2	9	0	0
10	2	Monarch	-	MLSP	MAB	5	3	0	0
10	2	Wormy	-	MLSP	MAB	2	3	0	0
10	2	Monarch	-	MBC	MCJ	7	4	0	0
10	2	Wormy	-	MBC	MCJ	8	5	0	0
10	2	Monarch	-	MCD	MTHE	2	5	0	0
10	2	Wormy	-	MCD	MTHE	4	5	0	0
10	2	Monarch	-	MHGW	MTRS	10	0	0	0
10	2	Wormy	-	MHGW	MTRS	11	3	0	0
10	2	Monarch	-	MOD	MGB	7	4	0	0
10	2	Wormy	-	MOD	MGB	5	3	0	0
10	2	Monarch	-	MMT	MPBP	10	4	0	0
10	2	Wormy	-	MMT	MPBP	9	2	0	0
10	2	Monarch	-	MBD	MPNS	4	3	0	0
10	2	Wormy	-	MBD	MPNS	3	3	0	0
10	2	Monarch	-	MBAL	MHR	6	2	0	0
10	2	Wormy	-	MBAL	MHR	3	6	0	0
10	3	Wormy	-	MAB	MTHE	3	2	0	0
10	3	TWP	-	MAB	MTHE	6	5	0	0
10	3	Wormy	-	MHGW	MBC	5	8	0	0
10	3	TWP	-	MHGW	MBC	2	6	0	0
10	3	Wormy	-	MCD	MLSP	8	6	0	0
10	3	TWP	-	MCD	MLSP	3	4	0	0
10	3	Wormy	-	MTRS	MCJ	3	7	0	0
10	3	TWP	-	MTRS	MCJ	0	5	0	0
10	3	Wormy	-	MGB	MPNS	2	6	0	0
10	3	TWP	-	MGB	MPNS	3	5	0	0
10	3	Wormy	-	MBAL	MMT	2	4	0	0
10	3	TWP	-	MBAL	MMT	1	8	0	0
10	3	Wormy	-	MBD	MOD	3	4	0	0
10	3	TWP	-	MBD	MOD	10	5	0	0
10	3	Wormy	-	MHR	MPBP	5	7	0	0
10	3	TWP	-	MHR	MPBP	5	2	0	0
10	4	TWP	-	MTRS	MAB	6	5	0	0
10	4	Boombox	-	MTRS	MAB	3	4	0	0
10	4	TWP	-	MBC	MLSP	2	7	0	0
10	4	Boombox	-	MBC	MLSP	4	4	0	0
10	4	TWP	-	MCJ	MTHE	3	7	0	0
10	4	Boombox	-	MCJ	MTHE	5	0	0	0
10	4	TWP	-	MHGW	MCD	6	5	0	0
10	4	Boombox	-	MHGW	MCD	6	5	0	0
10	4	TWP	-	MHR	MGB	8	2	0	0
10	4	Boombox	-	MHR	MGB	4	1	0	0
10	4	TWP	-	MMT	MOD	6	6	0	0
10	4	Boombox	-	MMT	MOD	11	4	0	0
10	4	TWP	-	MPBP	MPNS	5	4	0	0
10	4	Boombox	-	MPBP	MPNS	5	5	0	0
10	4	TWP	-	MBAL	MBD	11	1	0	0
10	4	Boombox	-	MBAL	MBD	2	3	0	0
10	5	Boombox	-	MAB	MHGW	2	2	0	0
10	5	Pilot	-	MAB	MHGW	7	6	0	0
10	5	Boombox	-	MTHE	MBC	7	2	0	0
10	5	Pilot	-	MTHE	MBC	3	2	0	0
10	5	Boombox	-	MLSP	MTRS	4	5	0	0
10	5	Pilot	-	MLSP	MTRS	1	6	0	0
10	5	Boombox	-	MCD	MCJ	4	6	0	0
10	5	Pilot	-	MCD	MCJ	4	8	0	0
10	5	Boombox	-	MGB	MBAL	2	7	0	0
10	5	Pilot	-	MGB	MBAL	2	15	0	0
10	5	Boombox	-	MPNS	MMT	2	5	0	0
10	5	Pilot	-	MPNS	MMT	5	5	0	0
10	5	Boombox	-	MOD	MHR	2	4	0	0
10	5	Pilot	-	MOD	MHR	2	13	0	0
10	5	Boombox	-	MBD	MPBP	3	2	0	0
10	5	Pilot	-	MBD	MPBP	4	9	0	0
10	6	Pilot	-	MBC	MAB	4	4	0	0
10	6	Smirk	-	MBC	MAB	5	8	0	0
10	6	Pilot	-	MHGW	MTHE	4	5	0	0
10	6	Smirk	-	MHGW	MTHE	3	1	0	0
10	6	Pilot	-	MCJ	MLSP	9	7	0	0
10	6	Smirk	-	MCJ	MLSP	8	6	0	0
10	6	Pilot	-	MTRS	MCD	6	6	0	0
10	6	Smirk	-	MTRS	MCD	7	6	0	0
10	6	Pilot	-	MMT	MGB	23	3	0	0
10	6	Smirk	-	MMT	MGB	12	1	0	0
10	6	Pilot	-	MBAL	MPNS	8	7	0	0
10	6	Smirk	-	MBAL	MPNS	8	1	0	0
10	6	Pilot	-	MPBP	MOD	1	8	0	0
10	6	Smirk	-	MPBP	MOD	6	7	0	0
10	6	Pilot	-	MHR	MBD	11	3	0	0
10	6	Smirk	-	MHR	MBD	5	6	0	0
10	7	Smirk	-	MAB	MCD	6	3	0	0
10	7	Scorpio	-	MAB	MCD	4	5	0	0
10	7	Smirk	-	MTRS	MBC	5	5	0	0
10	7	Scorpio	-	MTRS	MBC	3	7	0	0
10	7	Smirk	-	MTHE	MLSP	10	0	0	0
10	7	Scorpio	-	MTHE	MLSP	7	3	0	0
10	7	Smirk	-	MCJ	MHGW	7	4	0	0
10	7	Scorpio	-	MCJ	MHGW	4	10	0	0
10	7	Smirk	-	MGB	MBD	2	8	0	0
10	7	Scorpio	-	MGB	MBD	3	4	0	0
10	7	Smirk	-	MHR	MMT	3	6	0	0
10	7	Scorpio	-	MHR	MMT	9	5	0	0
10	7	Smirk	-	MPNS	MOD	1	12	0	0
10	7	Scorpio	-	MPNS	MOD	3	10	0	0
10	7	Smirk	-	MPBP	MBAL	3	4	0	0
10	7	Scorpio	-	MPBP	MBAL	6	5	0	0
10	8	Scorpio	-	MTHE	MAB	2	8	0	0
10	8	Rush	-	MTHE	MAB	12	5	0	0
10	8	Scorpio	-	MBC	MHGW	3	12	0	0
10	8	Rush	-	MBC	MHGW	7	12	0	0
10	8	Scorpio	-	MLSP	MCD	8	2	0	0
10	8	Rush	-	MLSP	MCD	5	4	0	0
10	8	Scorpio	-	MTRS	MCJ	1	10	0	0
10	8	Rush	-	MTRS	MCJ	5	12	0	0
10	8	Scorpio	-	MPNS	MGB	5	8	0	0
10	8	Rush	-	MPNS	MGB	7	8	0	0
10	8	Scorpio	-	MMT	MBAL	4	2	0	0
10	8	Rush	-	MMT	MBAL	11	8	0	0
10	8	Scorpio	-	MOD	MBD	3	4	0	0
10	8	Rush	-	MOD	MBD	15	5	0	0
10	8	Scorpio	-	MHR	MPBP	6	3	0	0
10	8	Rush	-	MHR	MPBP	8	6	0	0
10	9	Rush	-	MAB	MCJ	5	7	0	0
10	9	Transilio	-	MAB	MCJ	4	4	0	0
10	9	Rush	-	MCD	MBC	4	3	0	0
10	9	Transilio	-	MCD	MBC	2	7	0	0
10	9	Rush	-	MTHE	MTRS	6	3	0	0
10	9	Transilio	-	MTHE	MTRS	7	8	0	0
10	9	Rush	-	MLSP	MHGW	5	12	0	0
10	9	Transilio	-	MLSP	MHGW	6	4	0	0
10	9	Rush	-	MGB	MPBP	3	7	0	0
10	9	Transilio	-	MGB	MPBP	4	8	0	0
10	9	Rush	-	MBD	MMT	3	9	0	0
10	9	Transilio	-	MBD	MMT	6	6	0	0
10	9	Rush	-	MPNS	MHR	4	10	0	0
10	9	Transilio	-	MPNS	MHR	5	8	0	0
10	9	Rush	-	MOD	MBAL	4	3	0	0
10	9	Transilio	-	MOD	MBAL	9	4	0	0
10	10	Transilio	-	MHGW	MAB	15	5	0	0
10	10	EMERALD	-	MHGW	MAB	10	7	0	0
10	10	Transilio	-	MBC	MTHE	6	9	0	0
10	10	EMERALD	-	MBC	MTHE	6	7	0	0
10	10	Transilio	-	MTRS	MLSP	8	6	0	0
10	10	EMERALD	-	MTRS	MLSP	20	4	0	0
10	10	Transilio	-	MCD	MCJ	3	10	0	0
10	10	EMERALD	-	MCD	MCJ	7	7	0	0
10	10	Transilio	-	MBAL	MGB	10	5	0	0
10	10	EMERALD	-	MBAL	MGB	14	6	0	0
10	10	Transilio	-	MMT	MPNS	15	4	0	0
10	10	EMERALD	-	MMT	MPNS	17	3	0	0
10	10	Transilio	-	MHR	MOD	13	3	0	0
10	10	EMERALD	-	MHR	MOD	23	5	0	0
10	10	Transilio	-	MBD	MPBP	13	3	0	0
10	10	EMERALD	-	MBD	MPBP	7	6	0	0
11	1	Pilot	-	MTHS	MMBM	13	2	0	0
11	1	Rush	-	MTHS	MMBM	9	8	0	0
11	1	Pilot	-	MTRS	MSH	6	4	0	0
11	1	Rush	-	MTRS	MSH	1	9	0	0
11	1	Pilot	-	MDOF	MLC	5	3	0	0
11	1	Rush	-	MDOF	MLC	8	3	0	0
11	1	Pilot	-	MBNH	MHR	11	3	0	0
11	1	Rush	-	MBNH	MHR	10	3	0	0
11	1	Pilot	-	MBOP	MBD	6	6	0	0
11	1	Rush	-	MBOP	MBD	7	5	0	0
11	1	Pilot	-	MHGW	MROP	8	3	0	0
11	1	Rush	-	MHGW	MROP	13	3	0	0
11	2	Rush	-	MBOP	MDOF	8	5	0	0
11	2	Birch	-	MBOP	MDOF	10	5	0	0
11	2	Rush	-	MHR	MLC	6	5	0	0
11	2	Birch	-	MHR	MLC	9	3	0	0
11	2	Rush	-	MBD	MBNH	7	6	0	0
11	2	Birch	-	MBD	MBNH	7	1	0	0
11	2	Rush	-	MTRS	MHGW	5	2	0	0
11	2	Birch	-	MTRS	MHGW	12	2	0	0
11	2	Rush	-	MMBM	MROP	10	6	0	0
11	2	Birch	-	MMBM	MROP	8	2	0	0
11	2	Rush	-	MSH	MTHS	4	10	0	0
11	2	Birch	-	MSH	MTHS	6	4	0	0
11	3	Birch	-	MBNH	MTHS	2	27	0	0
11	3	Transilio	-	MBNH	MTHS	3	12	0	0
11	3	Birch	-	MLC	MTRS	5	4	0	0
11	3	Transilio	-	MLC	MTRS	3	3	0	0
11	3	Birch	-	MDOF	MHGW	6	5	0	0
11	3	Transilio	-	MDOF	MHGW	5	9	0	0
11	3	Birch	-	MHR	MROP	10	1	0	0
11	3	Transilio	-	MHR	MROP	5	6	0	0
11	3	Birch	-	MBOP	MSH	4	9	0	0
11	3	Transilio	-	MBOP	MSH	4	8	0	0
