season	week	game	half	team1	team2	t1score	t2score
10	1	EMERALD	1	NAB	NBC	3	4
10	1	EMERALD	2	NAB	NBC	2	5
10	1	EMERALD	OT	NAB	NBC	0	0
10	1	Monarch	1	NAB	NBC	1	3
10	1	Monarch	2	NAB	NBC	1	2
10	1	Monarch	OT	NAB	NBC	0	0
10	1	EMERALD	1	NTHE	NHGW	0	0
10	1	EMERALD	2	NTHE	NHGW	7	2
10	1	EMERALD	OT	NTHE	NHGW	0	0
10	1	Monarch	1	NTHE	NHGW	5	0
10	1	Monarch	2	NTHE	NHGW	0	0
10	1	Monarch	OT	NTHE	NHGW	0	0
10	1	EMERALD	1	NLSP	NCJ	1	13
10	1	EMERALD	2	NLSP	NCJ	3	2
10	1	EMERALD	OT	NLSP	NCJ	0	0
10	1	Monarch	1	NLSP	NCJ	0	0
10	1	Monarch	2	NLSP	NCJ	1	2
10	1	Monarch	OT	NLSP	NCJ	0	0
10	1	EMERALD	1	NCD	NTRS	3	2
10	1	EMERALD	2	NCD	NTRS	5	5
10	1	EMERALD	OT	NCD	NTRS	0	0
10	1	Monarch	1	NCD	NTRS	3	1
10	1	Monarch	2	NCD	NTRS	4	2
10	1	Monarch	OT	NCD	NTRS	0	0
10	1	EMERALD	1	NGB	NMT	4	2
10	1	EMERALD	2	NGB	NMT	4	1
10	1	EMERALD	OT	NGB	NMT	0	0
10	1	Monarch	1	NGB	NMT	1	0
10	1	Monarch	2	NGB	NMT	1	2
10	1	Monarch	OT	NGB	NMT	0	0
10	1	EMERALD	1	NPNS	NBAL	3	3
10	1	EMERALD	2	NPNS	NBAL	4	0
10	1	EMERALD	OT	NPNS	NBAL	0	0
10	1	Monarch	1	NPNS	NBAL	2	1
10	1	Monarch	2	NPNS	NBAL	2	3
10	1	Monarch	OT	NPNS	NBAL	0	0
10	1	EMERALD	1	NOD	NPBP	3	8
10	1	EMERALD	2	NOD	NPBP	2	3
10	1	EMERALD	OT	NOD	NPBP	0	0
10	1	Monarch	1	NOD	NPBP	0	2
10	1	Monarch	2	NOD	NPBP	1	2
10	1	Monarch	OT	NOD	NPBP	0	0
10	1	EMERALD	1	NBD	NHR	1	3
10	1	EMERALD	2	NBD	NHR	2	4
10	1	EMERALD	OT	NBD	NHR	0	0
10	1	Monarch	1	NBD	NHR	0	1
10	1	Monarch	2	NBD	NHR	1	1
10	1	Monarch	OT	NBD	NHR	0	0
10	2	Monarch	1	NLSP	NAB	0	1
10	2	Monarch	2	NLSP	NAB	2	5
10	2	Monarch	OT	NLSP	NAB	0	0
10	2	Wormy	1	NLSP	NAB	1	2
10	2	Wormy	2	NLSP	NAB	0	5
10	2	Wormy	OT	NLSP	NAB	0	0
10	2	Monarch	1	NBC	NCJ	1	2
10	2	Monarch	2	NBC	NCJ	4	0
10	2	Monarch	OT	NBC	NCJ	0	0
10	2	Wormy	1	NBC	NCJ	2	2
10	2	Wormy	2	NBC	NCJ	1	4
