season	week	game	half	team1	team2	t1score	t2score
10	1	EMERALD	1	MAB	MBC	6	2
10	1	EMERALD	2	MAB	MBC	3	4
10	1	EMERALD	OT	MAB	MBC	0	0
10	1	Monarch	1	MAB	MBC	5	2
10	1	Monarch	2	MAB	MBC	1	2
10	1	Monarch	OT	MAB	MBC	0	0
10	1	EMERALD	1	MTHE	MHGW	6	7
10	1	EMERALD	2	MTHE	MHGW	3	5
10	1	EMERALD	OT	MTHE	MHGW	0	0
10	1	Monarch	1	MTHE	MHGW	1	2
10	1	Monarch	2	MTHE	MHGW	6	1
10	1	Monarch	OT	MTHE	MHGW	0	0
10	1	EMERALD	1	MLSP	MCJ	1	3
10	1	EMERALD	2	MLSP	MCJ	5	4
10	1	EMERALD	OT	MLSP	MCJ	0	0
10	1	Monarch	1	MLSP	MCJ	4	3
10	1	Monarch	2	MLSP	MCJ	4	3
10	1	Monarch	OT	MLSP	MCJ	0	0
10	1	EMERALD	1	MCD	MTRS	5	1
10	1	EMERALD	2	MCD	MTRS	4	3
10	1	EMERALD	OT	MCD	MTRS	0	0
10	1	Monarch	1	MCD	MTRS	4	2
10	1	Monarch	2	MCD	MTRS	1	2
10	1	Monarch	OT	MCD	MTRS	0	0
10	1	EMERALD	1	MGB	MMT	3	4
10	1	EMERALD	2	MGB	MMT	3	5
10	1	EMERALD	OT	MGB	MMT	0	0
10	1	Monarch	1	MGB	MMT	1	8
10	1	Monarch	2	MGB	MMT	2	7
10	1	Monarch	OT	MGB	MMT	0	0
10	1	EMERALD	1	MPNS	MBAL	1	10
10	1	EMERALD	2	MPNS	MBAL	3	5
10	1	EMERALD	OT	MPNS	MBAL	0	0
10	1	Monarch	1	MPNS	MBAL	2	3
10	1	Monarch	2	MPNS	MBAL	0	6
10	1	Monarch	OT	MPNS	MBAL	0	0
10	1	EMERALD	1	MOD	MPBP	2	2
10	1	EMERALD	2	MOD	MPBP	2	4
10	1	EMERALD	OT	MOD	MPBP	0	0
10	1	Monarch	1	MOD	MPBP	6	0
10	1	Monarch	2	MOD	MPBP	2	4
10	1	Monarch	OT	MOD	MPBP	0	0
10	1	EMERALD	1	MBD	MHR	1	6
10	1	EMERALD	2	MBD	MHR	5	3
10	1	EMERALD	OT	MBD	MHR	0	0
10	1	Monarch	1	MBD	MHR	1	3
10	1	Monarch	2	MBD	MHR	1	6
10	1	Monarch	OT	MBD	MHR	0	0
10	2	Monarch	1	MLSP	MAB	2	2
10	2	Monarch	2	MLSP	MAB	3	1
10	2	Monarch	OT	MLSP	MAB	0	0
10	2	Wormy	1	MLSP	MAB	2	2
10	2	Wormy	2	MLSP	MAB	0	1
10	2	Wormy	OT	MLSP	MAB	0	0
10	2	Monarch	1	MBC	MCJ	6	1
10	2	Monarch	2	MBC	MCJ	1	3
10	2	Monarch	OT	MBC	MCJ	0	0
10	2	Wormy	1	MBC	MCJ	2	2
10	2	Wormy	2	MBC	MCJ	6	3
10	2	Wormy	OT	MBC	MCJ	0	0
10	2	Monarch	1	MCD	MTHE	1	4
10	2	Monarch	2	MCD	MTHE	1	1
10	2	Monarch	OT	MCD	MTHE	0	0
10	2	Wormy	1	MCD	MTHE	1	3
10	2	Wormy	2	MCD	MTHE	3	2
10	2	Wormy	OT	MCD	MTHE	0	0
10	2	Monarch	1	MHGW	MTRS	7	0
10	2	Monarch	2	MHGW	MTRS	3	0
10	2	Monarch	OT	MHGW	MTRS	0	0
10	2	Wormy	1	MHGW	MTRS	4	2
10	2	Wormy	2	MHGW	MTRS	7	1
10	2	Wormy	OT	MHGW	MTRS	0	0
10	2	Monarch	1	MOD	MGB	3	1
10	2	Monarch	2	MOD	MGB	4	3
10	2	Monarch	OT	MOD	MGB	0	0
10	2	Wormy	1	MOD	MGB	3	2
10	2	Wormy	2	MOD	MGB	2	1
10	2	Wormy	OT	MOD	MGB	0	0
10	2	Monarch	1	MMT	MPBP	4	3
10	2	Monarch	2	MMT	MPBP	6	1
10	2	Monarch	OT	MMT	MPBP	0	0
10	2	Wormy	1	MMT	MPBP	5	1
10	2	Wormy	2	MMT	MPBP	4	1
10	2	Wormy	OT	MMT	MPBP	0	0
10	2	Monarch	1	MBD	MPNS	0	3
10	2	Monarch	2	MBD	MPNS	4	0
10	2	Monarch	OT	MBD	MPNS	0	0
