season	week	match	map	half	player	score	team	grabs	pops	drops	hold	captures	prevent	ndpops	returns	tags	pups	minutes	goregrab	longholds	goodhandoff	handoff	coregrab	retinbase	nrtags	holdagainst	pupscomp	pm	quickret	flaccids	gohandoff	keyret	saves	cohandoff	capspm	holdpm	grabspm	score%	holdpgrab	spark%	flcd%	tagspm	retpm	prepm	hapm	prepret	prepha	rib%	qr%	nrtpm	kd	kf	pup%
10	1	MAB//MBC	EMERALD	-	Altiger	73	MAB	35	44	31	209	3	21	13	21	29	5	20	11	1	7	12	1	2	8	630	36	3	3	8	3	1	0	1	0.15	10.45	1.75	0.08571428571428572	5.9714285714285715	0.5833333333333334	0.22857142857142856	1.45	1.05	1.05	31.5	1	0.03333333333333333	0.09523809523809523	0.14285714285714285	0.4	0.6590909090909091	1	0.1388888888888889
10	1	MAB//MBC	EMERALD	-	Blue Dream	70	MBC	32	42	29	220	2	66	13	21	26	4	20	10	3	12	17	0	4	5	585	36	-3	2	8	0	0	0	0	0.1	11	1.6	0.0625	6.875	0.7058823529411765	0.25	1.3	1.05	3.3	29.25	3.142857142857143	0.11282051282051282	0.19047619047619047	0.09523809523809523	0.25	0.6190476190476191	1	0.1111111111111111
10	1	MAB//MBC	EMERALD	-	Death Pickle	88	MBC	10	19	10	58	0	279	9	30	47	7	20	6	0	3	4	0	14	17	585	36	-3	13	3	1	0	0	0	0	2.9	0.5	0	5.8	0.75	0.3	2.35	1.5	13.95	29.25	9.3	0.47692307692307695	0.4666666666666667	0.43333333333333335	0.85	2.473684210526316	0	0.19444444444444445
10	1	MAB//MBC	EMERALD	-	BigBird	77	MAB	15	24	15	81	0	327	9	22	28	5	20	4	1	0	3	0	6	6	630	36	3	6	7	1	1	0	0	0	4.05	0.75	0	5.4	0	0.4666666666666667	1.4	1.1	16.35	31.5	14.863636363636363	0.5190476190476191	0.2727272727272727	0.2727272727272727	0.3	1.1666666666666667	0	0.1388888888888889
10	1	MAB//MBC	EMERALD	-	Vials	75	MBC	33	35	30	289	3	47	5	12	17	6	20	15	3	12	17	0	2	5	585	36	-3	2	6	2	0	0	1	0.15	14.45	1.65	0.09090909090909091	8.757575757575758	0.7058823529411765	0.18181818181818182	0.85	0.6	2.35	29.25	3.9166666666666665	0.08034188034188035	0.16666666666666666	0.16666666666666666	0.25	0.4857142857142857	0	0.16666666666666666
10	1	MAB//MBC	EMERALD	-	Mr.Gone	63	MBC	14	28	13	63	1	215	15	23	31	2	20	5	0	3	6	1	9	8	585	36	-3	10	5	4	2	0	0	0.05	3.15	0.7	0.07142857142857142	4.5	0.5	0.35714285714285715	1.55	1.15	10.75	29.25	9.347826086956522	0.36752136752136755	0.391304347826087	0.43478260869565216	0.4	1.1071428571428572	0	0.05555555555555555
10	1	MAB//MBC	EMERALD	-	Sundown	76	MAB	12	25	12	101	0	343	13	20	32	4	20	4	1	5	8	0	5	12	630	36	3	6	2	2	0	0	0	0	5.05	0.6	0	8.416666666666666	0.625	0.16666666666666666	1.6	1	17.15	31.5	17.15	0.5444444444444444	0.25	0.3	0.6	1.28	0	0.1111111111111111
10	1	MAB//MBC	EMERALD	-	dywz	79	MAB	36	40	30	194	6	41	10	10	15	3	20	15	1	10	16	4	2	5	630	36	3	2	11	3	0	0	0	0.3	9.7	1.8	0.16666666666666666	5.388888888888889	0.625	0.3055555555555556	0.75	0.5	2.05	31.5	4.1	0.06507936507936508	0.2	0.2	0.25	0.375	0	0.08333333333333333
10	1	MAB//MBC	Monarch	-	Altiger	73	MAB	35	44	31	209	3	21	13	21	29	5	20	11	1	7	12	1	2	8	630	36	3	3	8	3	1	0	1	0.15	10.45	1.75	0.08571428571428572	5.9714285714285715	0.5833333333333334	0.22857142857142856	1.45	1.05	1.05	31.5	1	0.03333333333333333	0.09523809523809523	0.14285714285714285	0.4	0.6590909090909091	1	0.1388888888888889
10	1	MAB//MBC	Monarch	-	Blue Dream	70	MBC	32	42	29	220	2	66	13	21	26	4	20	10	3	12	17	0	4	5	585	36	-3	2	8	0	0	0	0	0.1	11	1.6	0.0625	6.875	0.7058823529411765	0.25	1.3	1.05	3.3	29.25	3.142857142857143	0.11282051282051282	0.19047619047619047	0.09523809523809523	0.25	0.6190476190476191	1	0.1111111111111111
