season	week	match	map	half	player	score	team	grabs	pops	drops	hold	captures	prevent	ndpops	returns	tags	pups	minutes	goregrab	longholds	goodhandoff	handoff	coregrab	retinbase	nrtags	holdagainst	pupscomp	pm	quickret	flaccids	gohandoff	keyret	saves	cohandoff	capspm	holdpm	grabspm	score%	holdpgrab	spark%	flcd%	tagspm	retpm	prepm	hapm	prepret	prepha	rib%	qr%	nrtpm	kd	kf	pup%
10	1	NAB//NBC	EMERALD	-	Ralph Wiggum	75	NAB	14	26	14	63	0	252	12	27	30	6	20	8	0	5	5	0	7	3	644	36	-4	7	4	1	0	0	0	0	3.15	0.7	0	4.5	1	0.2857142857142857	1.5	1.35	12.6	32.2	9.333333333333334	0.391304347826087	0.25925925925925924	0.25925925925925924	0.15	1.1538461538461537	0	0.16666666666666666
10	1	NAB//NBC	EMERALD	-	Hark	40	NBC	34	42	32	267	2	25	10	2	8	2	20	14	1	9	9	1	0	6	644	36	4	1	5	0	0	0	0	0.1	13.35	1.7	0.058823529411764705	7.852941176470588	1	0.14705882352941177	0.4	0.1	1.25	32.2	12.5	0.03881987577639751	0	0.5	0.3	0.19047619047619047	0	0.05555555555555555
10	1	NAB//NBC	EMERALD	-	Chalksy	96	NBC	9	22	8	66	1	285	14	30	37	6	20	3	0	3	4	1	11	7	644	36	4	14	3	1	1	0	0	0.05	3.3	0.45	0.1111111111111111	7.333333333333333	0.75	0.3333333333333333	1.85	1.5	14.25	32.2	9.5	0.44254658385093165	0.36666666666666664	0.4666666666666667	0.35	1.6818181818181819	0	0.16666666666666666
10	1	NAB//NBC	EMERALD	-	boethius	73	NBC	7	20	7	21	0	300	13	33	39	2	20	2	0	1	1	0	10	6	644	36	4	8	5	0	2	0	0	0	1.05	0.35	0	3	1	0.7142857142857143	1.95	1.65	15	32.2	9.090909090909092	0.4658385093167702	0.30303030303030304	0.24242424242424243	0.3	1.95	0	0.05555555555555555
10	1	NAB//NBC	EMERALD	-	simon	103	NAB	12	23	10	67	2	199	13	23	38	10	20	4	0	5	8	1	6	15	644	36	-4	7	4	0	1	1	0	0.1	3.35	0.6	0.16666666666666666	5.583333333333333	0.625	0.3333333333333333	1.9	1.15	9.95	32.2	8.652173913043478	0.3090062111801242	0.2608695652173913	0.30434782608695654	0.75	1.6521739130434783	0	0.2777777777777778
10	1	NAB//NBC	EMERALD	-	np	99	NBC	34	32	27	290	6	62	5	17	26	1	20	11	4	7	13	3	5	9	644	36	4	3	5	0	1	1	0	0.3	14.5	1.7	0.17647058823529413	8.529411764705882	0.5384615384615384	0.14705882352941177	1.3	0.85	3.1	32.2	3.6470588235294117	0.09627329192546584	0.29411764705882354	0.17647058823529413	0.45	0.8125	1	0.027777777777777776
10	1	NAB//NBC	EMERALD	-	Wanye	0	NAB	16	17	15	110	1	10	2	2	5	2	9	4	2	4	8	0	1	3	644	36	-4	0	6	4	0	1	0	0.1111111111111111	12.222222222222221	1.7777777777777777	0.0625	6.875	0.5	0.375	0.5555555555555556	0.2222222222222222	1.1111111111111112	71.55555555555556	5	0.015527950310559006	0.5	0	0.3333333333333333	0.29411764705882354	0	0.05555555555555555
10	1	NAB//NBC	EMERALD	-	Apopalypse	30	NAB	18	21	17	120	1	15	4	8	11	2	11	8	1	7	10	1	1	3	644	36	-4	0	6	1	1	0	0	0.09090909090909091	10.909090909090908	1.6363636363636365	0.05555555555555555	6.666666666666667	0.7	0.3333333333333333	1	0.7272727272727273	1.3636363636363635	58.54545454545455	1.875	0.023291925465838508	0.125	0	0.2727272727272727	0.5238095238095238	0	0.05555555555555555
10	1	NAB//NBC	EMERALD	-	Balldashy	60	NAB	29	34	28	284	1	115	6	13	18	5	20	11	4	8	11	0	5	5	644	36	-4	4	7	5	0	0	0	0.05	14.2	1.45	0.034482758620689655	9.793103448275861	0.7272727272727273	0.2413793103448276	0.9	0.65	5.75	32.2	8.846153846153847	0.17857142857142858	0.38461538461538464	0.3076923076923077	0.25	0.5294117647058824	0	0.1388888888888889
10	1	NAB//NBC	Monarch	-	Ralph Wiggum	75	NBC	14	26	14	63	0	252	12	27	30	6	20	8	0	5	5	0	7	3	644	36	-4	7	4	1	0	0	0	0	3.15	0.7	0	4.5	1	0.2857142857142857	1.5	1.35	12.6	32.2	9.333333333333334	0.391304347826087	0.25925925925925924	0.25925925925925924	0.15	1.1538461538461537	0	0.16666666666666666
