season	week	match	map	half	player	score	team	grabs	pops	drops	hold	captures	prevent	ndpops	returns	tags	pups	minutes	goregrab	longholds	goodhandoff	handoff	coregrab	retinbase	nrtags	holdagainst	pupscomp	pm	quickret	flaccids	gohandoff	keyret	saves	cohandoff	capspm	holdpm	grabspm	score%	holdpgrab	spark%	flcd%	tagspm	retpm	prepm	hapm	prepret	prepha	rib%	qr%	nrtpm	kd	kf	pup%
10	1	NAB//NBC	EMERALD	1	Ralph Wiggum	33	NAB	9	14	9	45	0	94	5	12	13	3	10	7	0	4	4	0	2	1	356	18	-1	1	2	1	0	0	0	0	4.5	0.9	0	5	1	0.2222222222	1.3	1.2	9.4	35.6	7.833333333	0.2640449438	0.1666666667	0.08333333333	0.1	0.9285714286	0	0.1666666667
10	1	NAB//NBC	EMERALD	1	Hark	23	NBC	16	19	15	155	1	10	4	1	4	1	10	5	0	4	4	0	0	3	361	18	1	0	1	0	0	0	0	0.1	15.5	1.6	0.0625	9.6875	1	0.0625	0.4	0.1	1	36.1	10	0.02770083102	0	0	0.3	0.2105263158	0	0.05555555556
10	1	NAB//NBC	EMERALD	1	Chalksy	40	NBC	6	14	6	54	0	120	8	11	14	3	10	2	0	3	4	0	3	3	361	18	1	5	1	1	0	0	0	0	5.4	0.6	0	9	0.75	0.1666666667	1.4	1.1	12	36.1	10.90909091	0.3324099723	0.2727272727	0.4545454545	0.3	1	0	0.1666666667
10	1	NAB//NBC	EMERALD	1	boethius	32	NBC	5	12	5	18	0	125	7	18	20	0	10	2	0	1	1	0	3	2	361	18	1	2	3	0	2	0	0	0	1.8	0.5	0	3.6	1	0.6	2	1.8	12.5	36.1	6.944444444	0.3462603878	0.1666666667	0.1111111111	0.2	1.666666667	0	0
10	1	NAB//NBC	EMERALD	1	simon	57	NAB	8	12	6	47	2	87	6	11	20	4	10	3	0	3	5	1	3	9	356	18	-1	3	3	0	0	0	0	0.2	4.7	0.8	0.25	5.875	0.6	0.375	2	1.1	8.7	35.6	7.909090909	0.2443820225	0.2727272727	0.2727272727	0.9	1.666666667	0	0.2222222222
10	1	NAB//NBC	EMERALD	1	np	52	NBC	15	17	12	129	3	49	5	10	14	1	10	5	2	4	7	2	3	4	361	18	1	3	2	0	0	0	0	0.3	12.9	1.5	0.2	8.6	0.5714285714	0.1333333333	1.4	1	4.9	36.1	4.9	0.135734072	0.3	0.3	0.4	0.8235294118	0	0.05555555556
10	1	NAB//NBC	EMERALD	1	Wanye	0	NAB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	18	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	NAB//NBC	EMERALD	1	Apopalypse	21	NAB	15	19	15	110	0	15	4	7	10	2	10	7	1	7	9	0	1	3	356	18	-1	0	4	0	1	0	0	0	11	1.5	0	7.333333333	0.7777777778	0.2666666667	1	0.7	1.5	35.6	2.142857143	0.04213483146	0.1428571429	0	0.3	0.5263157895	0	0.1111111111
10	1	NAB//NBC	EMERALD	1	Balldashy	42	NAB	12	13	11	159	1	45	2	7	11	4	10	6	2	5	6	0	3	4	356	18	-1	3	1	1	0	0	0	0.1	15.9	1.2	0.08333333333	13.25	0.8333333333	0.08333333333	1.1	0.7	4.5	35.6	6.428571429	0.1264044944	0.4285714286	0.4285714286	0.4	0.8461538462	0	0.2222222222
10	1	NAB//NBC	EMERALD	2	Chalksy	56	NBC	3	8	2	12	1	165	6	19	23	3	10	1	0	0	0	1	8	4	283	18	3	9	2	0	1	0	0	0.1	1.2	0.3	0.3333333333	4	0	0.6666666667	2.3	1.9	16.5	28.3	8.684210526	0.5830388693	0.4210526316	0.4736842105	0.4	2.875	0	0.1666666667
